290 | loss 7.0000 | lr 1.000000e-03 | 1681.71ms
291 | loss 6.8125 | lr 1.000000e-03 | 1897.13ms
292 | loss 6.8750 | lr 1.000000e-03 | 1890.47ms
293 | loss 6.5938 | lr 1.000000e-03 | 1895.12ms
294 | loss 7.0000 | lr 1.000000e-03 | 1895.67ms
295 | loss 6.6562 | lr 1.000000e-03 | 1892.48ms
296 | loss 6.7812 | lr 1.000000e-03 | 1894.67ms
297 | loss 6.7812 | lr 1.000000e-03 | 1898.53ms
298 | loss 6.8125 | lr 1.000000e-03 | 1897.79ms
299 | loss 6.6562 | lr 1.000000e-03 | 1900.89ms
300 | loss 6.9688 | lr 1.000000e-03 | 1898.97ms
301 | loss 6.9062 | lr 1.000000e-03 | 1894.57ms
302 | loss 6.2812 | lr 1.000000e-03 | 1892.88ms
303 | loss 6.6562 | lr 1.000000e-03 | 1895.65ms
304 | loss 6.6875 | lr 1.000000e-03 | 1898.67ms
305 | loss 6.7188 | lr 1.000000e-03 | 1896.48ms
306 | loss 6.9688 | lr 1.000000e-03 | 1899.77ms
307 | loss 6.7812 | lr 1.000000e-03 | 1893.66ms
308 | loss 6.8438 | lr 1.000000e-03 | 1900.89ms
309 | loss 7.0000 | lr 1.000000e-03 | 1894.15ms
310 | loss 6.8750 | lr 1.000000e-03 | 1890.03ms
311 | loss 6.9062 | lr 1.000000e-03 | 1896.01ms
312 | loss 7.0625 | lr 1.000000e-03 | 1899.73ms
313 | loss 6.8125 | lr 1.000000e-03 | 1890.55ms
314 | loss 6.5938 | lr 1.000000e-03 | 1895.28ms
315 | loss 6.8438 | lr 1.000000e-03 | 1894.48ms
316 | loss 6.8125 | lr 1.000000e-03 | 1891.11ms
317 | loss 6.8125 | lr 1.000000e-03 | 1892.56ms
318 | loss 6.9375 | lr 1.000000e-03 | 1908.61ms
319 | loss 7.2188 | lr 1.000000e-03 | 1899.63ms
320 | loss 6.6875 | lr 1.000000e-03 | 1899.09ms
321 | loss 6.8750 | lr 1.000000e-03 | 1894.10ms
